ticker,name
VG,Vonage Holdings Corp. - Common Stock
CDNS,"Cadence Design Systems, Inc. - Common Stock"
UONE,"Urban One, Inc.  - Class A Common Stock"
AVGO,Broadcom Inc. - Common Stock
ADBE,Adobe Inc. - Common Stock
ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock"
LLNW,"Limelight Networks, Inc. - Common Stock"
MXIM,"Maxim Integrated Products, Inc. - Common Stock"
ARCC,Ares Capital Corporation - Closed End Fund
COST,Costco Wholesale Corporation - Common Stock
GNUS,"Genius Brands International, Inc. - Common Stock"
FRSX,Foresight Autonomous Holdings Ltd. - American Depositary Shares
CRIS,"Curis, Inc. - Common Stock"
NLOK,NortonLifeLock Inc. - Common Stock
GEVO,"Gevo, Inc. - Common Stock"
DGLY,"Digital Ally, Inc. - Common Stock"
QRTEA,"Qurate Retail, Inc. - Series A Common Stock"
MAR,Marriott International - Class A Common Stock
VSTM,"Verastem, Inc. - Common Stock"
MGNX,"MacroGenics, Inc. - Common Stock"
SABR,Sabre Corporation - Common Stock
ENDP,Endo International plc - Ordinary Shares
BYND,"Beyond Meat, Inc. - Common stock"
YNDX,Yandex N.V. - Class A Ordinary Shares
COMM,"CommScope Holding Company, Inc. - Common Stock"
APPS,"Digital Turbine, Inc. - Common Stock"
DCT,"Duck Creek Technologies, Inc. - Common Stock"
AGEN,Agenus Inc. - Common Stock
DDOG,"Datadog, Inc. - Class A Common Stock"
PRPO,"Precipio, Inc. - Common Stock"
ZI,ZoomInfo Technologies Inc. - Class A Common Stock
MIK,"The Michaels Companies, Inc. - Common Stock"
EBAY,eBay Inc. - Common Stock
EVFM,"Evofem Biosciences, Inc. - Common Stock"
CEMI,"Chembio Diagnostics, Inc. - Common Stock"
BILI,Bilibili Inc. - American Depositary Shares
ZION,Zions Bancorporation N.A. - Common Stock
ZM,"Zoom Video Communications, Inc. - Class A Common Stock"
PBCT,"People's United Financial, Inc. - Common Stock"
ZSAN,Zosano Pharma Corporation - Common Stock
DISH,DISH Network Corporation - Class A Common Stock
INFN,Infinera Corporation - Common Stock
VIAC,ViacomCBS Inc. - Class B Common Stock
CG,The Carlyle Group Inc. - Common Stock
OPGN,"OpGen, Inc. - Common Stock"
PEP,"PepsiCo, Inc. - Common Stock"
WDAY,"Workday, Inc. - Class A Common Stock"
IMGN,"ImmunoGen, Inc. - Common Stock"
AYRO,"AYRO, Inc. - Common Stock"
BNDX,Vanguard Total International Bond ETF
TER,"Teradyne, Inc. - Common Stock"
Z,"Zillow Group, Inc. - Class C Capital Stock"
GT,The Goodyear Tire & Rubber Company - Common Stock
NK,"NantKwest, Inc. - Common Stock"
DVAX,Dynavax Technologies Corporation - Common Stock
AMD,"Advanced Micro Devices, Inc. - Common Stock"
QCOM,QUALCOMM Incorporated - Common Stock
ABUS,Arbutus Biopharma Corporation - Common Stock
MNLO,Menlo Therapeutics Inc. - Common Stock
WTRH,Waitr Holdings Inc. - Common Stock
ARPO,"Aerpio Pharmaceuticals, Inc. - Common Stock"
NYMT,"New York Mortgage Trust, Inc. - Common Stock"
DFFN,Diffusion Pharmaceuticals Inc. - Common Stock
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares
XRAY,DENTSPLY SIRONA Inc. - Common Stock
UAL,"United Airlines Holdings, Inc. - Common Stock"
PAAS,Pan American Silver Corp. - Common Stock
MU,"Micron Technology, Inc. - Common Stock"
CMCSA,Comcast Corporation - Class A Common Stock
SHY,iShares 1-3 Year Treasury Bond ETF
GLUU,Glu Mobile Inc. - Common Stock
FOXA,Fox Corporation - Class A Common Stock
WATT,Energous Corporation - Common Stock
MTP,Midatech Pharma PLC - American Depositary Shares
SFM,"Sprouts Farmers Market, Inc. - Common Stock"
ON,ON Semiconductor Corporation - Common Stock
CLVS,"Clovis Oncology, Inc. - Common Stock"
SGMO,"Sangamo Therapeutics, Inc. - Common Stock"
PLAY,"Dave & Buster's Entertainment, Inc. - Common Stock"
HBAN,Huntington Bancshares Incorporated - Common Stock
ROKU,"Roku, Inc. - Class A Common Stock"
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
AKER,Akers Biosciences Inc. - Common Stock
SBUX,Starbucks Corporation - Common Stock
RIGL,"Rigel Pharmaceuticals, Inc. - Common Stock"
MDLZ,"Mondelez International, Inc. - Class A Common Stock"
HHT,Color Star Technology Co. Ltd. - Ordinary Shares
BIDU,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share"
MTCH,"Match Group, Inc. - Common Stock"
QQQ,"Invesco QQQ Trust, Series 1"
TCOM,Trip.com Group Limited - American Depositary Shares
PTON,"Peloton Interactive, Inc. - Common Stock"
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
SDC,"SmileDirectClub, Inc. - Common Stock"
EXC,Exelon Corporation - Common Stock
STAY,"Extended Stay America, Inc. - Paired Shares"
PYPL,"PayPal Holdings, Inc. - Common Stock"
HZNP,Horizon Therapeutics Public Limited Company - Ordinary Shares
DOCU,"DocuSign, Inc. - Common Stock"
SUNW,"Sunworks, Inc. - Common Stock"
PHUN,"Phunware, Inc. - Common Stock"
MDRX,"Allscripts Healthcare Solutions, Inc. - common stock"
MNST,Monster Beverage Corporation - Common Stock
RUN,Sunrun Inc. - Common Stock
